# How often a word is written in English, per million words, for the twenty
# thousand commonest of them. Counts from Peter Norvig's count_1w.txt, which
# comes off the Google Web Trillion Word Corpus; turned into a rate here so
# that nothing has to divide by the size of a corpus it cannot see, and cut to
# words of three letters and up because nothing shorter is measured against it.
start	275.305
series	274.633
model	274.102
features	273.686
air	273.497
industry	273.433
plan	273.320
human	273.027
provided	271.687
yes	271.363
required	271.165
second	270.935
hot	270.839
accessories	270.321
cost	270.159
movie	269.367
forums	269.349
march	269.129
september	267.260
better	267.085
say	266.687
questions	266.447
july	266.385
yahoo	264.797
going	264.033
medical	263.982
test	263.549
friend	262.746
come	262.404
dec	262.361
server	261.490
study	260.112
application	259.769
cart	258.713
staff	257.689
articles	257.652
san	257.344
feedback	256.762
again	256.377
play	256.321
looking	256.086
issues	255.229
april	255.009
never	254.295
users	253.892
complete	253.879
street	253.570
topic	253.351
comment	252.717
financial	252.209
things	251.596
working	251.097
against	250.389
standard	250.249
tax	249.788
person	249.521
below	247.740
mobile	247.380
less	247.278
got	246.645
blog	246.617
party	246.049
payment	245.945
equipment	245.353
login	245.187
student	244.149
let	243.252
programs	242.293
offers	241.595
legal	241.529
above	241.266
recent	241.047
park	240.678
stores	240.103
side	240.009
act	239.875
problem	239.766
red	239.404
give	239.216
memory	238.861
performance	237.553
social	237.308
august	237.127
quote	236.756
language	235.525
story	235.382
sell	234.128
options	234.099
experience	233.173
rates	233.096
create	233.065
key	232.711
body	232.197
young	231.825
america	231.609
important	231.420
field	230.035
few	229.769
east	229.606
paper	229.440
single	229.125
age	225.676
activities	225.607
club	225.171
example	225.070
girls	224.996
additional	224.762
password	224.683
latest	224.361
something	224.164
road	224.103
gift	223.453
question	222.138
changes	222.011
night	221.945
hard	221.135
texas	220.020
oct	219.854
pay	219.679
four	219.626
poker	219.435
status	219.332
browse	218.900
issue	218.367
range	218.177
building	218.068
seller	217.248
court	217.165
february	217.139
always	217.020
result	216.663
audio	215.966
light	215.430
write	215.337
war	215.120
nov	215.025
offer	214.630
blue	214.514
groups	213.925
easy	213.473
given	213.463
files	213.432
event	213.416
release	213.120
analysis	212.454
request	211.895
fax	211.691
china	211.642
making	211.178
picture	211.038
needs	210.153
possible	209.669
might	209.473
professional	209.416
yet	209.412
month	209.187
major	208.446
star	208.286
areas	207.416
future	207.175
space	206.598
committee	206.327
hand	206.243
sun	206.110
cards	205.900
problems	205.888
london	205.874
washington	205.702
meeting	205.423
rss	204.972
become	204.880
interest	204.503
child	203.609
keep	203.363
enter	203.008
california	202.979
porn	202.840
share	202.839
similar	202.595
garden	202.364
schools	202.302
million	202.030
added	201.336
reference	200.855
companies	200.818
listed	200.555
baby	200.121
learning	200.082
energy	199.704
run	199.301
delivery	199.141
net	198.740
popular	198.080
term	197.718
film	197.404
stories	196.395
put	195.886
computers	195.823
journal	194.742
reports	194.714
try	194.490
welcome	193.880
central	193.568
images	193.476
president	193.422
notice	193.313
god	193.198
original	192.907
head	192.674
radio	192.622
until	192.289
cell	192.251
color	192.078
self	191.970
council	191.956
away	191.860
includes	191.230
track	191.091
australia	190.771
discussion	190.391
archive	190.388
once	190.235
others	189.412
entertainment	189.407
agreement	189.341
format	189.211
least	189.126
society	189.074
months	189.063
log	189.025
safety	188.845
friends	188.281
sure	187.934
faq	187.586
trade	187.183
edition	187.123
cars	186.556
messages	186.521
marketing	186.349
tell	186.277
further	186.233
updated	186.193
association	186.043
able	185.996
having	185.947
provides	185.698
david	185.449
fun	184.297
already	184.187
green	184.124
studies	183.677
close	183.385
common	183.361
drive	183.294
specific	183.270
several	182.937
gold	182.781
feb	182.756
living	182.302
sep	182.181
collection	182.142
called	181.897
short	181.518
arts	181.026
lot	180.923
ask	180.915
display	180.816
limited	180.498
powered	180.438
solutions	180.410
means	180.143
director	180.050
daily	179.958
beach	179.626
past	179.597
natural	178.707
whether	178.559
due	178.378
electronics	177.225
five	177.115
upon	176.699
period	176.674
planning	176.627
database	176.377
says	176.320
official	176.019
weather	175.697
mar	175.478
land	175.359
average	174.857
done	174.814
technical	174.781
window	174.643
france	174.620
pro	174.420
region	174.372
island	173.972
record	173.832
direct	173.831
microsoft	173.704
conference	173.412
environment	173.364
records	173.044
district	172.286
calendar	172.249
costs	171.887
style	171.774
url	171.574
front	171.539
statement	171.510
update	171.333
parts	171.116
aug	170.887
ever	170.482
downloads	170.436
early	170.055
miles	170.053
sound	170.051
resource	169.971
present	169.047
applications	168.883
either	168.575
ago	168.059
document	167.828
word	167.773
works	167.621
material	167.530
bill	167.472
apr	166.770
written	166.728
talk	166.378
federal	166.355
hosting	166.203
rules	166.051
final	166.035
adult	165.923
tickets	165.886
thing	165.699
centre	165.370
requirements	165.328
via	165.215
cheap	165.016
nude	164.479
kids	164.256
finance	164.173
true	163.689
minutes	163.643
else	163.265
mark	162.562
third	162.362
rock	162.361
gifts	162.232
europe	162.165
reading	162.023
topics	161.756
bad	161.695
individual	161.216
tips	161.192
plus	161.072
auto	161.021
cover	160.683
usually	160.642
edit	160.101
together	160.024
videos	159.948
percent	159.892
fast	159.731
function	159.624
fact	159.504
unit	159.345
getting	158.952
global	158.896
tech	158.813
meet	158.599
far	158.235
economic	158.205
player	157.636
projects	157.456
lyrics	157.415
often	157.367
subscribe	157.205
submit	157.163
germany	156.687
amount	156.497
watch	156.441
included	156.434
feel	156.300
though	156.270
bank	155.680
risk	155.556
thanks	155.407
everything	155.389
deals	155.052
various	154.995
words	154.576
linux	154.481
jul	154.407
production	154.071
commercial	153.972
james	153.940
weight	153.890
town	153.843
heart	153.453
advertising	153.386
received	153.093
choose	153.046
treatment	153.032
newsletter	152.737
archives	152.734
points	152.655
knowledge	152.603
magazine	152.594
error	152.003
camera	151.881
jun	151.592
girl	151.565
currently	151.458
construction	150.938
toys	150.840
registered	150.490
clear	150.389
golf	150.194
receive	150.188
domain	149.794
methods	149.454
chapter	149.429
makes	149.339
protection	149.329
policies	149.274
loan	149.264
wide	149.053
beauty	148.901
manager	148.679
india	148.594
position	148.165
taken	147.962
sort	147.904
listings	147.602
models	147.202
michael	147.124
known	146.900
half	146.721
cases	146.662
step	146.478
engineering	146.167
florida	145.847
simple	145.578
quick	145.521
none	145.417
wireless	145.094
license	145.083
paul	144.974
friday	144.944
lake	144.938
whole	144.872
annual	144.602
published	144.397
later	144.286
basic	144.256
sony	144.202
shows	144.195
corporate	144.013
google	143.794
church	143.774
method	143.506
purchase	143.393
customers	143.367
active	142.971
response	142.938
practice	142.891
hardware	142.831
figure	142.742
materials	142.660
fire	142.564
holiday	142.269
chat	142.190
enough	142.134
designed	142.078
along	141.883
among	141.860
death	141.495
writing	141.410
speed	141.357
html	141.287
countries	141.267
loss	141.154
face	140.800
brand	140.799
discount	140.526
higher	140.303
effects	140.105
created	140.009
remember	139.804
standards	139.732
oil	139.729
bit	139.620
yellow	139.468
political	139.463
increase	139.398
advertise	139.368
kingdom	139.279
base	139.247
near	138.836
environmental	138.740
thought	138.680
stuff	138.482
french	138.401
storage	138.271
japan	137.914
doing	137.423
loans	137.422
shoes	137.310
entry	137.246
stay	137.206
nature	137.146
orders	137.055
availability	137.019
africa	136.990
summary	136.921
turn	136.583
mean	136.556
growth	136.023
notes	135.955
agency	135.882
king	135.671
monday	135.511
european	135.457
activity	135.403
copy	135.372
although	135.311
drug	135.047
pics	134.875
western	134.760
income	134.734
force	134.665
cash	134.619
employment	134.504
overall	134.313
bay	134.269
river	134.060
commission	134.015
package	133.341
contents	133.247
seen	133.246
players	133.123
engine	132.758
port	132.713
album	132.479
regional	132.205
stop	132.199
supplies	131.902
started	131.801
administration	131.801
bar	131.562
institute	131.525
views	131.491
plans	131.427
double	131.414
dog	131.387
build	131.270
screen	131.237
exchange	131.060
types	131.045
soon	130.990
sponsored	130.678
lines	130.595
electronic	130.427
continue	130.345
across	130.240
benefits	130.212
needed	130.122
season	129.982
apply	129.805
someone	129.585
held	129.396
anything	129.199
printer	129.185
condition	129.162
effective	129.158
believe	129.085
organization	128.551
effect	128.535
asked	128.430
eur	128.342
mind	128.194
sunday	128.012
selection	127.859
casino	127.178
pdf	127.138
lost	127.097
tour	127.018
menu	126.434
volume	126.306
cross	126.216
anyone	126.113
mortgage	126.097
hope	126.072
silver	125.949
corporation	125.949
wish	125.898
inside	125.869
solution	125.825
mature	125.615
role	125.295
rather	125.254
weeks	125.096
addition	124.862
came	124.611
supply	124.498
nothing	124.436
certain	124.307
usr	124.233
executive	124.142
running	123.918
lower	123.455
necessary	123.451
union	123.450
jewelry	123.404
according	123.364
clothing	123.198
mon	123.150
com	122.908
particular	122.520
fine	122.376
names	122.285
robert	122.132
homepage	122.108
hour	122.025
gas	121.605
skills	121.375
six	121.346
bush	121.214
islands	121.181
advice	121.180
career	121.146
military	121.113
rental	120.746
decision	120.734
leave	120.651
british	120.574
teens	120.484
pre	120.437
huge	120.110
sat	120.110
woman	120.066
facilities	120.034
zip	119.960
bid	119.749
kind	119.737
sellers	119.494
middle	119.303
move	119.215
cable	119.163
opportunities	119.080
taking	119.018
values	118.931
division	118.889
coming	118.834
tuesday	118.756
object	118.715
lesbian	118.572
appropriate	118.463
machine	118.454
logo	118.223
length	118.121
actually	118.078
nice	117.995
score	117.858
statistics	117.653
client	117.644
returns	117.429
capital	117.309
follow	117.293
sample	117.250
investment	117.137
sent	117.075
shown	116.907
saturday	116.791
christmas	116.725
england	116.677
culture	116.653
band	116.589
flash	116.288
lead	116.175
george	116.067
choice	116.000
went	115.843
starting	115.758
registration	115.665
fri	115.510
thursday	115.199
courses	115.166
consumer	115.054
airport	114.726
foreign	114.675
artist	114.638
outside	114.629
furniture	114.598
levels	114.535
channel	114.521
letter	114.499
mode	114.458
phones	114.452
ideas	114.448
wednesday	114.284
structure	114.247
fund	114.141
summer	114.096
allow	114.011
degree	113.972
contract	113.745
button	113.600
releases	113.598
wed	113.575
homes	113.502
super	113.417
male	113.307
matter	113.297
custom	113.232
virginia	113.209
almost	112.893
took	112.726
located	112.646
multiple	112.513
asian	112.354
distribution	112.347
editor	112.246
inn	112.234
industrial	112.088
cause	112.059
potential	111.941
song	111.936
cnet	111.887
ltd	111.793
los	111.681
focus	111.587
late	111.498
fall	111.373
featured	111.325
idea	111.302
rooms	111.292
female	111.214
responsible	111.064
inc	111.053
communications	111.040
win	110.970
associated	110.892
thomas	110.816
primary	110.758
cancer	110.654
numbers	110.652
reason	110.634
tool	110.537
browser	110.223
spring	110.205
foundation	110.102
answer	109.925
voice	109.842
friendly	109.743
schedule	109.678
documents	109.564
communication	109.464
purpose	109.356
feature	109.312
bed	109.268
comes	109.257
police	109.157
everyone	109.157
independent	109.109
approach	109.090
cameras	109.082
brown	109.011
physical	108.974
operating	108.900
hill	108.835
maps	108.732
medicine	108.535
deal	108.529
hold	108.442
ratings	108.441
chicago	108.403
forms	108.075
glass	108.072
happy	107.923
tue	107.780
smith	107.729
wanted	107.633
developed	107.546
thank	107.519
safe	107.406
unique	107.319
survey	107.111
prior	107.034
telephone	106.944
sport	106.583
ready	106.555
feed	106.549
animal	106.383
sources	106.368
mexico	106.345
population	106.189
regular	105.945
secure	105.909
navigation	105.765
operations	105.664
therefore	105.560
ass	105.523
simply	105.442
evidence	105.441
station	105.237
christian	105.204
round	105.142
paypal	105.132
favorite	105.048
understand	104.944
option	104.939
master	104.917
valley	104.901
recently	104.800
probably	104.785
thu	104.778
rentals	104.637
sea	104.626
built	104.575
publications	104.574
blood	104.312
cut	104.293
worldwide	104.263
improve	104.239
connection	104.234
publisher	104.213
hall	104.171
larger	104.171
anti	104.106
networks	103.844
earth	103.821
parents	103.781
nokia	103.779
impact	103.749
transfer	103.739
introduction	103.727
kitchen	103.678
strong	103.667
tel	103.427
carolina	103.410
wedding	103.309
properties	103.290
hospital	103.245
ground	103.174
overview	103.152
ship	103.124
accommodation	103.022
owners	103.007
disease	102.939
excellent	102.557
paid	102.521
italy	102.496
perfect	102.324
hair	102.112
opportunity	102.076
kit	101.957
classic	101.947
basis	101.852
command	101.799
cities	101.695
william	101.687
express	101.675
anal	101.639
award	101.428
distance	101.426
tree	101.378
peter	101.240
assessment	101.191
ensure	101.182
thus	101.080
wall	101.051
involved	101.013
extra	100.960
especially	100.891
interface	100.842
pussy	100.670
partners	100.554
budget	100.500
rated	100.492
guides	100.479
success	100.296
maximum	100.206
operation	100.074
existing	99.984
quite	99.941
selected	99.755
boy	99.748
amazon	99.737
patients	99.735
restaurants	99.604
beautiful	99.475
warning	99.467
wine	99.455
locations	99.419
horse	99.390
vote	99.277
forward	99.269
flowers	99.256
stars	99.218
significant	99.194
lists	99.042
technologies	98.997
owner	98.940
retail	98.934
animals	98.922
useful	98.864
directly	98.864
manufacturer	98.831
ways	98.813
est	98.809
son	98.779
providing	98.547
rule	98.470
mac	98.408
housing	98.262
takes	98.252
iii	98.104
gmt	97.956
bring	97.952
catalog	97.883
searches	97.754
max	97.737
trying	97.705
mother	97.654
authority	97.604
considered	97.562
told	97.341
xml	97.329
traffic	97.328
programme	97.280
joined	97.263
input	97.244
strategy	97.208
feet	97.168
agent	97.095
valid	97.079
bin	97.048
modern	96.969
senior	96.808
ireland	96.586
sexy	96.504
teaching	96.370
door	96.304
grand	96.237
testing	96.177
trial	96.149
charge	96.140
units	96.089
instead	96.068
canadian	96.056
cool	96.019
normal	95.971
wrote	95.935
enterprise	95.924
ships	95.839
entire	95.701
educational	95.699
leading	95.561
metal	95.527
positive	95.443
fitness	95.327
chinese	95.316
opinion	95.284
asia	95.183
football	95.172
abstract	95.136
uses	94.950
output	94.911
funds	94.745
greater	94.663
likely	94.656
develop	94.557
employees	94.409
artists	94.376
alternative	94.371
processing	94.345
responsibility	94.280
resolution	94.248
java	94.130
guest	94.016
seems	93.988
publication	93.856
pass	93.840
relations	93.825
trust	93.785
van	93.768
contains	93.766
session	93.762
multi	93.741
photography	93.660
republic	93.605
fees	93.458
components	93.458
vacation	93.427
century	93.398
academic	93.324
assistance	93.230
completed	93.196
skin	93.160
graphics	93.146
indian	92.916
prev	92.798
ads	92.691
mary	92.529
expected	92.407
ring	92.400
grade	92.285
dating	92.284
pacific	92.255
mountain	92.107
organizations	92.067
pop	92.056
filter	91.999
mailing	91.981
vehicle	91.952
longer	91.926
consider	91.923
int	91.818
northern	91.607
behind	91.520
panel	91.451
floor	91.409
german	91.326
buying	91.026
match	91.022
proposed	90.989
default	90.987
require	90.959
iraq	90.952
boys	90.907
outdoor	90.903
deep	90.878
morning	90.872
otherwise	90.808
allows	90.717
rest	90.648
protein	90.549
plant	90.538
reported	90.439
hit	90.409
transportation	90.326
